"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Johnson City TN"	"TN"	59183	36.33	-82.37	0
"Joliet IL"	"IL"	141246	41.53	-88.12	0
"Jonesboro AR"	"AR"	59233	35.82	-90.69	0
"Joplin MO"	"MO"	47060	37.08	-94.5	0
"Juneau AK"	"AK"	31187	58.3	-134.42	2
"Jupiter FL"	"FL"	51126	26.92	-80.1	0
"Kalamazoo MI"	"MI"	73504	42.27	-85.59	0
"Kansas City KS"	"KS"	143402	39.12	-94.73	0
"Kansas City MO"	"MO"	441833	39.12	-94.55	0
"Keller TX"	"TX"	39928	32.93	-97.23	0
"Kendale Lakes FL"	"FL"	62715	25.71	-80.41	0
"Kendall FL"	"FL"	84549	25.67	-80.34	0
"Kenner LA"	"LA"	69514	29.99	-90.25	0
"Kennewick WA"	"WA"	63593	46.2	-119.17	0
"Kenosha WI"	"WI"	94673	42.58	-87.85	0
"Kent WA"	"WA"	82896	47.39	-122.24	0
"Kentwood MI"	"MI"	47421	42.88	-85.59	0
"Kettering OH"	"OH"	55473	39.7	-84.15	0
"Killeen TX"	"TX"	106441	31.1	-97.72	0
"Kingsport TN"	"TN"	43776	36.53	-82.56	0
"Kirkland WA"	"WA"	45913	47.68	-122.19	0
"Kissimmee FL"	"FL"	67085	28.3	-81.41	0
"Knoxville TN"	"TN"	172000	35.97	-83.95	0
"Kokomo IN"	"IN"	46130	40.48	-86.13	0
"La Crosse WI"	"WI"	50147	43.83	-91.23	0
"La Habra CA"	"CA"	59799	33.93	-117.95	0
"La Mesa CA"	"CA"	53942	32.77	-117.02	0
"La Mirada CA"	"CA"	50598	33.9	-118.01	0
"La Puente CA"	"CA"	42901	34.03	-117.95	0
"La Quinta CA"	"CA"	41239	33.67	-116.29	0
"Lafayette IN"	"IN"	62589	40.41	-86.87	0
"Lafayette LA"	"LA"	112317	30.22	-92.03	0
"Laguna CA"	"CA"	49714	38.42	-121.42	0
"Laguna Niguel CA"	"CA"	67009	33.53	-117.7	0
"Lake Charles LA"	"LA"	69910	30.21	-93.2	0
"Lake Elsinore CA"	"CA"	43336	33.67	-117.32	0
"Lake Forest CA"	"CA"	76859	33.63	-117.7	0
"Lake Havasu City AZ"	"AZ"	57685	34.5	-114.31	0
"Lake Magdalene FL"	"FL"	40413	28.07	-82.47	0
"Lakeland FL"	"FL"	92011	28.04	-81.96	0
